Track name,Artist name,Album,Playlist name,Type,ISRC
Alwarpetyai Aaluda,Kamal Haasan,Vasool Raja MBBS (Original Motion Picture Soundtrack),folk,Playlist,INA221000431
Nenjai Kasakki,Yuvan Shankar Raja,Yaaradi Nee Mohini (Original Motion Picture Soundtrack),folk,Playlist,INS171100495
Sarakku Vachiruken,Shankar Mahadevan,Shajahaan,folk,Playlist,INS280100377
Thanni Karuthirichi,Achu,Yennai Theriyuma (Original Motion Picture Soundtrack),folk,Playlist,INS170816264
Theradi Veethiyl,Manikka Vinayagam,Run,folk,Playlist,GBSGZ0200071
Vaadi Vaadi Naattu Katta,Vidyasagar,Alli Thantha Vaanam (Original Motion Picture Soundtrack),folk,Playlist,INS2Y1700266
Vaadiamma,Udit Narayan,Thirumalai (Original Motion Picture Soundtrack),folk,Playlist,INN130300062
Vachikka vachikka,KK,M.Kumaran Son of Mahalakshmi (Original Motion Picture Soundtrack),folk,Playlist,INV341102313
Appadi Podu,Vidyasagar,Ghilli,folk,Playlist,GBSGZ0400005
"Vasantha Mullai (From ""Pokkiri"")",Rahul Nambiar,Hits of Ilayathalapathy Vijay,folk,Playlist,INF040700851
ValamenuKkum,Gana Ulaganathan,Chithiram Pesuthadi (Original Motion Picture Soundtrack),folk,Playlist,INN130600200
O Podu 1,Anuradha Sriram,Gemini,folk,Playlist,INS390200038
Sathikadi,Sangeetha Mahadevan,Sukran,folk,Playlist,GBSGZ0500059
"Inthadi (From ""Dhol"")",Tippu,Tippu Hits - Playback Singer,folk,Playlist,INF040200461
"Yey Aatha (""From MalaiKkottai"" )",Tippu,Hits of Anuradha Sriram,folk,Playlist,INS280700774
"Rangu Rangamma (From ""Bheema"")",Vijay Yesudas,Vijay Jesudas and Karthik Hits,folk,Playlist,INF040700840
Rangola,Shankar Mahadevan,Ghajini (Original Motion Picture Soundtrack),folk,Playlist,INM300500157
Silambattam,Yuvan Shankar Raja,Silambattam (Original Motion Picture Soundtrack),folk,Playlist,INS171100408
"Kumbeda Pona Thaivam (From "" Thiruppatchi"" )",Shankar Mahadevan,Hits of Shankar Mahadevan,folk,Playlist,INS280400566
Kathadikkuthu Kathadikkuthu,Deva,Ninaivirukkum Varai (Original Motion Picture Soundtrack),folk,Playlist,INS2Y1700320
Thee Pidikka,Anushka Manchanda,Arinthum Ariyamalum (Original Motion Picture Soundtrack),folk,Playlist,INM300500151
"Aruva Meesai (From ""Dhol"")",Manikka Vinayagam,Manikkavinayagam - Playback Singer,folk,Playlist,INF040200464
Odi Odi Vilayada,D. Imman,Masilamani (Original Motion Picture Soundtrack),folk,Playlist,INS170900236
"Vaadi Machiniye (From ""Parthipan Kanavu"")",Siva Chidambaram,Best of Malathi,folk,Playlist,INF040300508
"Ithanundu (From ""Dhol"")",Udit Narayan,Singer Special Udit Narayan,folk,Playlist,INF040200459
Pottu Thakku,Srikanth Deva,Kuthu,folk,Playlist,IND291600793
En Chella Peru Apple,Mani Sharma,Pokkiri,folk,Playlist,GBSGZ0600013
Vaa Chellam,Mani Sharma,Thoranai (Original Motion Picture Soundtrack),folk,Playlist,INS171100430
Annakili,Jassie Gift,4 Students (Original Motion Picture Soundtrack),folk,Playlist,INN130400104
Karuppu Perazhaga,Sichith,Kanchana,folk,Playlist,INS391100215
Mozha Mozha,KK,Kuruvi,folk,Playlist,INS390800191
"Kokkorakko (From ""Gilli"")",Udit Narayan,Singer Special Udit Narayan,folk,Playlist,INF040400570
Ayyo Ayyo,Srikanth Deva,M. Kumaran Son Of Mahalakshmi,folk,Playlist,IND291600750
"Yen Chellaperu Apple (From ""Pokkiri"")",A. V. Ramanan,Playback Singer Special - Mirchi Suchitra,folk,Playlist,INF040700854
"Lealakku Lealakku (From ""Aathi"")",KK,Sweet Voice of K.K,folk,Playlist,INF040500719
Karigalan,Vijay Antony,Vettaikaaran (Original Motion Picture Soundtrack),folk,Playlist,INS171100350
"Olli Olli (From ""Aathi"")",Karthik,Play Back Singer Karthik Special,folk,Playlist,INF040500718
Pia.. Pia..,Vijay Antony,Ninaithale Inikkum (Original Motion Picture Soundtrack),folk,Playlist,INS171100531
Aadunga Da,Sundar C. Babu,Naadodigal (Original Motion Picture Soundtrack),folk,Playlist,INS170900214
Kathalikkum,KK,Chellamay,folk,Playlist,INS390400015
"Maramkothiye (From ""Ah…Aah"")",Shankar Mahadevan,Hits of Shankar Mahadevan,folk,Playlist,INF040500700
"Anbe Aaruyire (From ""Ah…Aah"")",A.R. Rahman,Hits of A.R.Rahman and Harris Jayaraj,folk,Playlist,INF040500695
Kodu Poatta,A.R. Rahman,Raavanan (Original Motion Picture Soundtrack),folk,Playlist,INS171000157
Porkkalam - Tamil Rap,G. V. Prakash,Aadukalam (Original Motion Picture Soundtrack),folk,Playlist,INS171000320
Kadal Raasa Naan,A.R. Rahman,Maryan (Original Motion Picture Soundtrack),folk,Playlist,INS171300303
Ennuyire,Srinivas,Uyire (Original Motion Picture Soundtrack),folk,Playlist,INN139800574
Irumbile Oru Idhaiyam,A.R. Rahman,Enthiran (Original Motion Picture Soundtrack),folk,Playlist,INT201000135
Puthiya Manidha,A.R. Rahman,Enthiran (Original Motion Picture Soundtrack),folk,Playlist,INT201000133
Kadhal Anukkal,A.R. Rahman,Enthiran (Original Motion Picture Soundtrack),folk,Playlist,INT201000134
Yeno Yeno Panithuli,Harris Jayaraj,Aadhavan (Original Motion Picture Soundtrack),folk,Playlist,INS171100647
Kacheri Kacheri,Mukesh,Kacheri Aarambam,folk,Playlist,INS280900815
Dheemthanakka Thillana,Devi Sri Prasad,Villu,folk,Playlist,GBSGZ0800248
Daddy Mummy,Devi Sri Prasad,Villu,folk,Playlist,GBSGZ0800244
Ammadi Aathadi,Silambarasan TR,Vallavan (Original Motion Picture Soundtrack),folk,Playlist,INA221000694
Soda Bottle,Devi Sri Prasad,Aaru,folk,Playlist,GBSGZ0500012
Kutti Pisase,G. V. Prakash,Kaalai (Original Motion Picture Soundtrack),folk,Playlist,INS171100636
Annanoda Paatu,KK,Chandramukhi,folk,Playlist,INS390500023
Othakallu Othakallu,S. S Karunaas,Ambasamuthiram Ambani (Original Motion Picture Soundtrack),folk,Playlist,INS171100667
Nandooruthu,C. Sathya,Nedunchalai (Original Motion Picture Soundtrack),folk,Playlist,INT201300479
Vaadi Vaadi,Vijay,Sachien,folk,Playlist,INS390500113
Hey Rosu Rosu,Mani Sharma,Padikkathavan (Original Motion Picture Soundtrack),folk,Playlist,INS171100437
Neeye Neeye II,Srikanth Deva,M. Kumaran Son Of Mahalakshmi,folk,Playlist,IND291600752
Olli Kuchi,Deva,Red (Original Motion Picture Soundtrack),folk,Playlist,INS171101178
Dole Dole Than,Mani Sharma,Pokkiri,folk,Playlist,GBSGZ0600014
Soi Soi,D. Imman,Kumki (Original Motion Picture Soundtrack),folk,Playlist,INS171200518
En Aasai Mythiliye,Yuvan Shankar Raja,Manmadhan (Original Motion Picture Soundtrack),folk,Playlist,IND291600745
Kokkarakko,Vidyasagar,Ghilli,folk,Playlist,GBSGZ0400001
"Appan Panna (""From Thiruppattchi"" )",Pushpavanam Kuppusamy,Hits of Anuradha Sriram,folk,Playlist,INS280400570
"Kokku Meena (From ""Kovil"")",Shankar Mahadevan,Hits of Shankar Mahadevan,folk,Playlist,INF040300563
Hey Vetri Velaa,Mani Sharma,Padikkathavan (Original Motion Picture Soundtrack),folk,Playlist,INS171100509
Aasai Dhosai,Priya Subramaniam,Paramasivam,folk,Playlist,INS230909588
Chillax,Vijay Antony,Velayudham (Original Motion Picture Soundtrack),folk,Playlist,INS171100156
Palakkattu Pakkathile,Yuvan Shankar Raja,Yaaradi Nee Mohini (Original Motion Picture Soundtrack),folk,Playlist,INS171100496
Palaanadhu Palaanadhu,Vidyasagar,Kuruvi,folk,Playlist,INS390800189
Hyar Ettu,Shankar Mahadevan,Maja,folk,Playlist,INS390500076
Layyavathiye,Jassie Gift,4 Students (Original Motion Picture Soundtrack),folk,Playlist,INN130400101
En Peeru Meenakumari,Devi Sri Prasad,Kanthaswamy (Original Motion Picture Soundtrack),folk,Playlist,INS170900198
Bombay Ponnu,Vijay Antony,Vedi (Original Motion Picture Soundtrack),folk,Playlist,INT201100313
"Arabic Kuthu - Halamithi Habibo (From ""Beast"")",Anirudh Ravichander,"Arabic Kuthu - Halamithi Habibo (From ""Beast"")",folk,Playlist,QM4TW2268780
Un Per Solla Aasaidhan (Reprise),Tajmeel Sherif,Un Per Solla Aasaidhan (Reprise),folk,Playlist,QMEZE2124529
Happy New Year,Vaaisan,Kuruvi,folk,Playlist,INS390800186
Thanjavoor Jilla Kaari,Mani Sharma,Suraa (Original Motion Picture Soundtrack),folk,Playlist,INS171100341
Kitta Nerungi Vaadi,Vijay Antony,Dishyum (Original Background Score),folk,Playlist,INS2Y1700180
Thekku Cheemaiyilae,Bharadwaj,Attagasam (Original Motion Picture Soundtrack),folk,Playlist,INS171101019
"Azagiya Laila (From ""Ullathai Alli Thaa"")",Mano,Sangeetha Utsavam - Mano Isai Mazhai,folk,Playlist,INS181426925
Thilana,Mano,Muthu,folk,Playlist,FRX201631857
May Maadham,Bharadwaj,Jay Jay (Original Motion Picture Soundtrack),folk,Playlist,IND292205825
Paathukkulle,Bharadwaj,Vasool Raja MBBS (Original Motion Picture Soundtrack),folk,Playlist,IND292205877
Thamizh Naattil,Paalakadu Sriram,Maayavi (Original Motion Picture Soundtrack),folk,Playlist,FR6V82284418
Ummela Aasapattu,S.P. Charan,Vazhthukkal (Original Motion Picture Soundtrack),folk,Playlist,INB230810206
Kannu Rendum,Devi Sri Prasad,Kutty (Original Motion Picture Soundtrack),folk,Playlist,INS171100561
Faded,Alan Walker,Different World,folk,Playlist,NOG841549010
Vuroram puliamaram,Pandi,Paruthiveeran,folk,Playlist,INS280600745
Adhareeni,A.R. Rahman,Sivaji,folk,Playlist,INS392204129
Adiyae Kolluthey,Harris Jayaraj,Vaaranam Aayiram (Original Motion Picture Soundtrack),folk,Playlist,INS170816330
Allegro,Devi Sri Prasad,Kanthaswamy (Original Motion Picture Soundtrack),folk,Playlist,INS170900195
Chinnama Chilakamma,A.R. Rahman,Sakkarakatti (Original Motion Picture Soundtrack),folk,Playlist,INS170802151
Dailamo Dailamo,Vijay Antony,Dishyum (Original Background Score),folk,Playlist,INS2Y1700176
Dhoothu Varuma,Sunitha Sarathy,Kaakha Kaakha (Original Motion Picture Soundtrack),folk,Playlist,INN130300028
Idhu Varai,Yuvan Shankar Raja,Goa (Original Motion Picture Soundtrack),folk,Playlist,INS170910008
Kadhal Cricket - Love (Not Out),Hiphop Tamizha,Thani Oruvan (Original Motion Picture Soundtrack),folk,Playlist,INS171501114
Kadhal Yaanai,Shankar Mahadevan,Anniyan (Original Motion Picture Soundtrack),folk,Playlist,INA221000512
Kannum Kannum,Leslee Lewis,Anniyan (Original Motion Picture Soundtrack),folk,Playlist,INA221000513
Kilimanjaro,A.R. Rahman,Enthiran (Original Motion Picture Soundtrack),folk,Playlist,INT201000138
Konjam Nilavu,A.R. Rahman,Thiruda Thiruda (Original Motion Picture Soundtrack),folk,Playlist,INM129300201
Ladio,A.R. Rahman,I (Original Motion Picture Soundtrack),folk,Playlist,INS171402083
Maro Maro,Karthik,Boys (Orignal Motion Picture Soundtrack),folk,Playlist,INS280300530
Mayam Seidhayo,Vijay Antony,Velayudham (Original Motion Picture Soundtrack),folk,Playlist,INS171100157
Mayya Mayya,A.R. Rahman,Guru (Original Motion Picture Soundtrack),folk,Playlist,INS170701205
Mental Manadhil - Female,A.R. Rahman,O Kadhal Kanmani (Original Motion Picture Soundtrack),folk,Playlist,INS171500499
Rahathulla,Chandralekha Annupamaa,Ghajini (Original Motion Picture Soundtrack),folk,Playlist,INM300500156
Senthoora,D. Imman,Bogan (Original Motion Picture Soundtrack),folk,Playlist,INS171603063
"Stylish Thamizhachi (From ""Arrambam"")",Yuvan Shankar Raja,My Playlist: Yuvanshankar Raja,folk,Playlist,INS171300787
Un Vizhigalil,Anirudh Ravichander,Maan Karate Special (Original Motion Picture Soundtrack),folk,Playlist,INS171400477
"Whos the Hero (From ""Manmadan Ambu"")",Andrea Jeremiah,Kollywood Beauties,folk,Playlist,INV111000730
Yellae Lama,Harris Jayaraj,7 Aum Arivu (Original Motion Picture Soundtrack),folk,Playlist,INS171100357
Soda Bottle,Shankar Mahadevan,Aaru (Original Motion Picture Soundtrack),folk,Playlist,INS280500639
Hey Sala,Yuvan Shankar Raja,Aegan (Original Motion Picture Soundtrack),folk,Playlist,IND292205842
Vodu Vodu Vodu Vodu,Chinna Ponnu,Brahman,folk,Playlist,INT131400096
Kondaadum Manasu,Anand Arvindakshan,Sundarapandiyan (Original Motion Picture Soundtrack),folk,Playlist,INT201200370
Lealakku Lealakku,KK,Aathi (Original Motion Picture Soundtrack),folk,Playlist,INF040500719
"Oyyale (From ""Manmadan Ambu"")",Mukesh,Kadhal Ninaivugal - Memories of Love,folk,Playlist,INV111000733
Kattabomma Oorenakku,Vijay Yesudas,Thaamirabharani,folk,Playlist,INH100631445
Naane Indhiran,Devi Sri Prasad,Singam (Original Motion Picture Soundtrack),folk,Playlist,INS171000128
Hey Vaada Vaada,M.L.R. Karthikeyan,Kacheri Aarambam,folk,Playlist,INS280900811
Malaayooru,Megha,Mambattiyan,folk,Playlist,INS921000136
Podu Aattam Podu,Vijay Yesudas,Vallavan (Original Motion Picture Soundtrack),folk,Playlist,INA221000693
Pandi Naatu Kodi,Santhosh Narayanan,Jigarthanda (Original Motion Picture Soundtrack),folk,Playlist,INT201400643
Ain't U Freshco,Freshco,Tommy Boy Essentials: Hip-Hop Volume 1,Hip Hop,Playlist,USTB11900488
Let The Rhythm Hit 'Em,Eric B. & Rakim,Let The Rhythm Hit 'Em,Hip Hop,Playlist,USMC19031813
Improvise,Jurassic 5,J 5 (Deluxe Edition),Hip Hop,Playlist,US2Q80800054
There It Is,Just Ice,There It Is,Hip Hop,Playlist,USLD90803849
A Chorus Line (feat. Tim Dog) - Original 12 Version,Ultramagnetic MC's,Critical Beatdown (Re-Issue),Hip Hop,Playlist,NLA320420791
Wax Paper,J-Live,The Best Part,Hip Hop,Playlist,USUYG1029431
Put It On The Line,Percee P,Perseverance,Hip Hop,Playlist,US2S70720013
Tom Thum,R.A. The Rugged Man,Legends Never Die,Hip Hop,Playlist,USHKR0915906
The True Meaning,Cormega,True Meaning,Hip Hop,Playlist,QMTBX1407105
BOOM!,The Roots,The Tipping Point,Hip Hop,Playlist,USMC10400267
Made You Look,Nas,God's Son,Hip Hop,Playlist,USSM10211988
3030,Deltron 3030,Deltron 3030,Hip Hop,Playlist,US25T0892633
Breaker Down Like a Shotgun,Felt,Felt 2: A Tribute To Lisa Bonet,Hip Hop,Playlist,USBWK0500093
It's Hard Being the Kane,Big Daddy Kane,Taste Of Chocolate,Hip Hop,Playlist,USRE10100028
Color Blind,Ice Cube,Death Certificate (25th Anniversary Edition),Hip Hop,Playlist,USPO19100035
Nature Of The Threat,Ras Kass,Soul On Ice,Hip Hop,Playlist,USPO19600038
Shadowboxin',GZA,Liquid Swords,Hip Hop,Playlist,USGF19581314
Work The Angles,Dilated Peoples,The Platform,Hip Hop,Playlist,USCA20000354
Coolie High,Camp Lo,Uptown Saturday Night,Hip Hop,Playlist,USAR19700504
Sucka Nigga,A Tribe Called Quest,Midnight Marauders,Hip Hop,Playlist,USJI10300163
Ya Playin' Yaself,Jeru The Damaja,Wrath Of The Math,Hip Hop,Playlist,USLR29610019
Live at the Barbeque - 2017 Remastered Version,Main Source,Breaking Atoms (2017 Remastered Version),Hip Hop,Playlist,USQY51769741
Who Got Da Props,Black Moon,Enta da Stage,Hip Hop,Playlist,USNRS0020120
Deadly Medley (feat. Royce Da 5'9 & Elzhi),Black Milk,Album Of The Year,Hip Hop,Playlist,US6881100615
The Influence,Jurassic 5,Quality Control,Hip Hop,Playlist,USIR10000155
On the Run,Kool G Rap & DJ Polo,Live and Let Die,Hip Hop,Playlist,USFZH0700327
Break in the Action,CZARFACE,Super What?,Hip Hop,Playlist,USFZH2100006
ooh la la (feat. Greg Nice & DJ Premier),Run The Jewels,RTJ4,Hip Hop,Playlist,QMRSZ2000720
Hip-Hop,Dead Prez,Let's Get Free,Hip Hop,Playlist,USLR59900933
I Used To Love Her (Again),Murs & 9th Wonder,Fornever,Hip Hop,Playlist,USBHD0901756
Fly By,ICE-T,O.G. Original Gangster,Hip Hop,Playlist,USWB19903959
Pass The Mic,Beastie Boys,Check Your Head,Hip Hop,Playlist,USCA29200012
Brainstorm,Gang Starr,Hard To Earn,Hip Hop,Playlist,USCH34900185
M.P.E.,Public Enemy,Yo! Bum Rush The Show,Hip Hop,Playlist,USDJ28800008
San Francisco Knights,People Under The Stairs,The Next Step,Hip Hop,Playlist,USOM80103308
When I B On Tha Mic,Rakim,The Master,Hip Hop,Playlist,USUR19980387
Ether,Nas,Stillmatic,Hip Hop,Playlist,USSM10112162
Strictly Snappin' Necks,EPMD,Unfinished Business,Hip Hop,Playlist,USPO18900008
Cha Cha Cha,MC Lyte,Eyes On This,Hip Hop,Playlist,CA5KR2016348
Making a Name for Ourselves (feat. Canibus),Common,One Day It'll All Make Sense,Hip Hop,Playlist,USRE49700052
Oh No,Mos Def,Lyricist Lounge Volume 2,Hip Hop,Playlist,USRW50200206
C.I.A. (Criminals In Action),Zack De La Rocha,Lyricist Lounge Vol. 1,Hip Hop,Playlist,USRW50200184
I Shot Ya - Remix,LL COOL J,Mr. Smith (Deluxe Edition),Hip Hop,Playlist,USDJ29500159
Twinz (feat. Fat Joe),Big Pun,Capital Punishment,Hip Hop,Playlist,USLR59900121
10% Dis,MC Lyte,Lyte As A Rock,Hip Hop,Playlist,USEW28800026
Step into a World (Rapture's Delight),KRS-One,I Got Next,Hip Hop,Playlist,USJI19710033
Pack Up Remix,Lyrics Born,Same !@#$ Different Day,Hip Hop,Playlist,NLB390500006
Poet Laureate II,Canibus,Rip The Jacker,Hip Hop,Playlist,US36T0300511
Battle Cry,Jedi Mind Tricks,The Torture Papers,Hip Hop,Playlist,US36T0609201
Throwback Rap Attack,Percee P,Perseverance,Hip Hop,Playlist,US2S70720009
Rock Shyt,D.I.T.C.,Sessions,Hip Hop,Playlist,USA2P1696350
Braggin Writes,J-Live,Always Has Been,Hip Hop,Playlist,USQY50920230
Acknowledge,Masta Ace,Disposable Arts,Hip Hop,Playlist,US4R20400035
Double Barrel feat. DJ Revolution,Marco Polo & Torae,Double Barrel,Hip Hop,Playlist,USI4R0902707
Nostalgia,Marco Polo,Port Authority,Hip Hop,Playlist,USGVJ0700805
Double Trouble,The Roots,Things Fall Apart,Hip Hop,Playlist,USMC19858728
B-Boy Real MC Coy (feat. Abstract Rude),Aceyalone,Accepted Eclectic,Hip Hop,Playlist,US2Q80400009
A's & E's (Feat. Marsh Ambrosious),Masta Ace,Arts & Entertainment,Hip Hop,Playlist,USFZH0900915
Down With the King (feat. Pete Rock & C.L. Smooth),Run–D.M.C.,Down With The King,Hip Hop,Playlist,USAR19901348
Make Your Arrangements (feat. Kool Keith),Craig G,I Rap And Go Home,Hip Hop,Playlist,US92U1604803
Verbal Clap,De La Soul,The Grind Date,Hip Hop,Playlist,GBAJE0401079
Return of the B-Boy,Mr. Lif,I Phantom,Hip Hop,Playlist,QM6P41590854
The Bay-Bronx Bridge,Masters Of Illusion,Masters Of Illusion,Hip Hop,Playlist,US85G0197211
Speakers On Blast,Skyzoo,Live From The Tape Deck,Hip Hop,Playlist,US6YF1000107
Jazz (We've Got),A Tribe Called Quest,The Low End Theory,Hip Hop,Playlist,USJI19100004
100,Dice Raw,100,Hip Hop,Playlist,USC3U1017001
Typhoon Rap (feat. Action Bronson),Meyhem Lauren,Self Induced Illness,Hip Hop,Playlist,USLD91712011
Shakey Dog,Ghostface Killah,Fishscale,Hip Hop,Playlist,USUM70601424
Alphabet Aerobics,Blackalicious,A2G EP,Hip Hop,Playlist,US2P20410464
Microphone,Slaughterhouse,Slaughterhouse,Hip Hop,Playlist,USKO10901500
Definition of a Rap Flow (Albee 3000),R.A. The Rugged Man,Legends Never Die,Hip Hop,Playlist,USHKR0915903
Onion Head,Sean Price,Monkey Barz,Hip Hop,Playlist,US6YF0900259
Criminal Minded,Boogie Down Productions,Criminal Minded (Deluxe),Hip Hop,Playlist,USWR31600709
3 a.m.,Eminem,Relapse [Deluxe],Hip Hop,Playlist,USUM70963051
"So Fresh, So Clean",Outkast,Stankonia,Hip Hop,Playlist,USLF20000433
Close Your Eyes (And Count to Fuck),Run The Jewels,Run the Jewels 2,Hip Hop,Playlist,QM8RL1400016
Ghetto D,Master P,Ghetto D 10th Anniversary,Hip Hop,Playlist,USPO10500004
All Alone (ft. Masta Ace & Torae),DJ Low Cut,Dead End,Hip Hop,Playlist,FR5R00906721
Worst Comes To Worst - Edited,Dilated Peoples,Expansion Team,Hip Hop,Playlist,USCA20101256
Full Time B-Boy,Foreign Legion,Kidnapper Van - Beats To Rock While Bike-Stealin,Hip Hop,Playlist,US2950410024
How to Rob (feat. The Madd Rapper),50 Cent,Tell Em Why U Madd,Hip Hop,Playlist,USSM19906120
Banana Clipper,Run The Jewels,Run The Jewels,Hip Hop,Playlist,QM8RL1400005
Juice,Ces Cru feat. Tech N9ne,Constant Energy Struggles,Hip Hop,Playlist,USQY51324557
Take That,Styles Of Beyond,Reseda Beach,Hip Hop,Playlist,USA2P1266646
E-F-F-E-C-T,Greenhouse (Blueprint & Illogic),Bend but Don't Break,Hip Hop,Playlist,QMFME1389224
Where It All Began,Koss,Natural High,Hip Hop,Playlist,FR6V82440545
Suffolk's Most Wanted,Diabolic,Independent Warriors - Goon Musick Compilation,Hip Hop,Playlist,DELJ81592818
Butcher Shop feat. R.A. the Rugged Man,Blaq Poet,Blaq Poet Society,Hip Hop,Playlist,US4UZ1110070
Independent Warriors,Snowgoons,Independent Warriors - Goon Musick Compilation,Hip Hop,Playlist,DELJ81592814
I Am - Feat. DJ Revolution,Bekay,Hunger Pains,Hip Hop,Playlist,USQY50957819
Terminator X To The Edge Of Panic,Public Enemy,It Takes A Nation Of Millions To Hold Us Back,Hip Hop,Playlist,USDJ28800017
My Part of Town,Tuff Crew,Classic Hip Hop Jams,Hip Hop,Playlist,USWR31300009
Long Time Coming,A-F-R-O,A-F-R-O POLO,Hip Hop,Playlist,US6YF1600028
Freedom Form Flowing,Gift Of Gab,Freedom Form Flowing,Hip Hop,Playlist,QZ5AB1941333
H.I.P.-H.O.P.,Jazz Addixx,Oxygen,Hip Hop,Playlist,ushm20587214
Stratocaster,Kool Keith,Feature Magnetic,Hip Hop,Playlist,QMFMF1597412
Kept,Eyedea & Abilities,E&A,Hip Hop,Playlist,USBWK1100170
Dead in the Middle,Ryu,Killmatic,Hip Hop,Playlist,USCHR1311391
Fuck The Police,J Dilla,The Diary,Hip Hop,Playlist,QM8RL1400276
Champion,Brother Ali,Shadows On The Sun,Hip Hop,Playlist,USBWK0500112
Animal Rap,Jedi Mind Tricks,Visions Of Gandhi,Hip Hop,Playlist,US36T0300606
Threats,Jean Grae,Jean Grae: The Evil Jeanius,Hip Hop,Playlist,USA560843372
Industry Shakedown,Bumpy Knuckles,Industry Shakedown,Hip Hop,Playlist,USTC10779724
Ain't The Devil Happy,Jeru The Damaja,The Sun Rises In The East,Hip Hop,Playlist,GBAMY9400063
Black Helicopters,Non Phixion,Black Helicopters,Hip Hop,Playlist,TCAAS1052813
Style Wars,Jean Grae,This Week,Hip Hop,Playlist,US36T0403405
Paula's Jam,Paula Perry,Tales from Fort Knox,Hip Hop,Playlist,QM6XS2000914
How The West Was One,Cali Agents,How The West Was One,Hip Hop,Playlist,USA2P0716942
Vein,Cannibal Ox,The Cold Vein (Deluxe Edition),Hip Hop,Playlist,US7SR1300116
8-Steps To Perfection,Company Flow,TRUE UNDERGROUND HIP HOP 2,Hip Hop,Playlist,JPB531400565
Girl Let Me Touch You,Dr. Octagon,Dr. Octagonecologyst,Hip Hop,Playlist,GBAQH9600212
Tale Of Five Cities,Peanut Butter Wolf,My Vinyl Weighs a Ton,Hip Hop,Playlist,US2S79917014
New Day,O.C.,Same Moon Same Sun,Hip Hop,Playlist,USUYG1142458
Really Doe,Danny Brown,Atrocity Exhibition,Hip Hop,Playlist,GBBPW1600100
I'm so & So,Eleven & Jason D,Strike Back,Hip Hop,Playlist,uscgj2067871
Everlasting Bass,Rodney-O & Joe Cooley,Me And Joe,Hip Hop,Playlist,USQY50956835
The Industry Is Wack,Ultra,Big Time,Hip Hop,Playlist,US85G0121210
Psycho Dwarf,The Beatnuts,Street Level,Hip Hop,Playlist,USLR59900883
Represent,Showbiz & A.G.,Runaway Slave,Hip Hop,Playlist,USWWW0201368
Bad Man!,Murs,Murs 3:16: The 9th Edition,Hip Hop,Playlist,USUYG1107966
Bedlam 13:13,Public Enemy,Muse Sick-N-Hour Mess Age,Hip Hop,Playlist,USDJ29400005
Put Your Weight on It,Big Daddy Kane,Taste Of Chocolate,Hip Hop,Playlist,USRE11100361
Intergalactic,Beastie Boys,Hello Nasty,Hip Hop,Playlist,USCA29800190
Doomsday,MF DOOM,Operation: Doomsday (Complete),Hip Hop,Playlist,US2S71104002
The Jam (feat. KRS-One),Shabba Ranks,Shabba Ranks and Friends,Hip Hop,Playlist,USSM19100162
Fuck Compton,Tim Dog,Penicillin On Wax,Hip Hop,Playlist,USSM19100339
Bust The Facts,Ultramagnetic MC's,Funk Your Head Up,Hip Hop,Playlist,USUM71305317
Lend Me an Ear,The D.O.C.,No One Can Do It Better,Hip Hop,Playlist,USAT20503494
Outta Here,KRS-One,Return of the Boom Bap,Hip Hop,Playlist,USJI19300003
2 Live Is What We Are…(Word),2 LIVE CREW,Is What We Are,Hip Hop,Playlist,US4SC0500091
yankee and the brave (ep. 4),Run The Jewels,yankee and the brave (ep. 4),Hip Hop,Playlist,QMRSZ2000762
So What'Cha Want,Beastie Boys,Check Your Head,Hip Hop,Playlist,USCA29200016
Okey Dog,Murs,Have a Nice Life,Hip Hop,Playlist,USZHR1500080
Some Old New Shit,Jazz Spastiks,Camera of Sound,Hip Hop,Playlist,GBMJG2100950
Fake MC's,Killah Priest,Heavy Mental,Hip Hop,Playlist,USGF19797105
Use Me Up,UGK,Too Hard To Swallow,Hip Hop,Playlist,USJI10301169
Tear Shit Up (Feat. Jazzy Jeff),Biz Markie,Weekend Warrior,Hip Hop,Playlist,DEZ650502570
It's Been A Long Time,Rakim,The 18th Letter / The Book Of Life,Hip Hop,Playlist,USUR19700126
Reagan,Killer Mike,R.A.P. Music,Hip Hop,Playlist,USYWT0800106
Untouchable,Pusha T,King Push – Darkest Before Dawn: The Prelude,Hip Hop,Playlist,USUM71517796
Hours & Minutes,Epic Beard Men,This Was Supposed to Be Fun,Hip Hop,Playlist,USMUR1900001
Recreational Rec (feat. Recognize Ali),Tone Spliff,Ardore Melodico,Hip Hop,Playlist,usdy41926412
Renegade,JAY-Z,The Blueprint (Explicit Version),Hip Hop,Playlist,USDJ20110682
Ultimate Flow,K-Rino,Stories From The Black Book,Hip Hop,Playlist,ushm80604514
WW III,Pharoahe Monch,Rawkus Presents Soundbombing II,Hip Hop,Playlist,USRW50200246
So Fresh (feat. Biz Markie & Slick Rick),Will Smith,Willennium,Hip Hop,Playlist,USSM19922373
This Is A Test,Paris,The Devil Made Me Do It (The Deluxe Edition),Hip Hop,Playlist,US25T0610787
How To Kill A Radio Consultant,Public Enemy,Apocalypse 91… The Enemy Strikes Black,Hip Hop,Playlist,USDJ29100006
Break Up (The OJ Song),Murs,Murs For President,Hip Hop,Playlist,USWB10806274
F'@k You Lucy,Atmosphere,God Loves Ugly,Hip Hop,Playlist,USBWK0500473
Freaks of the Industry,Digital Underground,Sex Packets,Hip Hop,Playlist,USTB10300367
